ds,y
2023/8/28,25.3 
2023/8/29,25.5 
2023/8/30,25.7 
2023/8/31,25.1 
2023/9/1,25.3 
2023/9/2,25.7 
2023/9/3,25.2 
2023/9/4,22.6 
2023/9/5,25.4 
2023/9/6,23.8 
2023/9/7,23.4 
2023/9/8,19.0 
2023/9/9,21.5 
2023/9/10,24.1 
2023/9/11,24.4 
2023/9/12,24.0 
2023/9/13,24.3 
2023/9/14,24.4 
2023/9/15,23.8 
2023/9/16,24.2 
2023/9/17,24.9 
2023/9/18,25.1 
2023/9/19,25.1 
2023/9/20,23.6 
2023/9/21,23.1 
2023/9/22,21.5 
2023/9/23,19.2 
2023/9/24,19.2 
2023/9/25,19.4 
2023/9/26,21.3 
2023/9/27,21.9 
2023/9/28,23.8 
2023/9/29,22.8 
2023/9/30,22.2 
2023/10/1,22.2 
2023/10/2,20.2 
2023/10/3,19.8 
2023/10/4,16.2 
2023/10/5,17.3 
2023/10/6,18.0 
2023/10/7,17.7 
2023/10/8,15.7 
2023/10/9,13.3 
2023/10/10,17.5 
2023/10/11,17.2 
2023/10/12,16.8 
2023/10/13,16.0 
2023/10/14,15.8 
2023/10/15,12.9 
2023/10/16,16.5 
2023/10/17,16.9 
2023/10/18,16.4 
2023/10/19,17.6 
2023/10/20,18.9 
2023/10/21,16.5 
2023/10/22,13.8 
2023/10/23,14.5 
2023/10/24,15.3 
2023/10/25,15.3 
2023/10/26,14.6 
2023/10/27,15.4 
2023/10/28,15.2 
2023/10/29,14.1 
2023/10/30,14.6 
2023/10/31,14.9 
2023/11/1,15.6 
2023/11/2,15.8 
2023/11/3,16.3 
2023/11/4,17.1 
2023/11/5,17.3 
2023/11/6,18.5 
2023/11/7,19.3 
2023/11/8,15.3 
2023/11/9,14.8 
2023/11/10,13.4 
2023/11/11,11.9 
2023/11/12,8.7 
2023/11/13,9.6 
2023/11/14,10.5 
2023/11/15,10.2 
2023/11/16,11.2 
2023/11/17,10.0 
2023/11/18,10.7 
2023/11/19,10.5 
2023/11/20,10.7 
2023/11/21,10.3 
2023/11/22,11.6 
2023/11/23,12.7 
2023/11/24,14.5 
2023/11/25,9.1 
2023/11/26,6.7 
2023/11/27,9.5 
2023/11/28,12.0 
2023/11/29,10.0 
2023/11/30,9.8 
2023/12/1,7.5 
2023/12/2,7.2 
2023/12/3,7.9 
2023/12/4,7.5 
2023/12/5,7.0 
2023/12/6,9.9 
2023/12/7,11.2 
2023/12/8,10.7 
2023/12/9,10.3 
2023/12/10,11.3 
2023/12/11,11.6 
2023/12/12,10.3 
2023/12/13,9.4 
2023/12/14,8.8 
2023/12/15,9.5 
2023/12/16,14.7 
2023/12/17,9.7 
2023/12/18,6.1 
2023/12/19,6.1 
2023/12/20,7.4 
2023/12/21,6.7 
2023/12/22,4.6 
2023/12/23,4.3 
2023/12/24,4.2 
2023/12/25,5.5 
2023/12/26,6.6 
2023/12/27,7.3 
2023/12/28,6.1 
2023/12/29,6.8 
2023/12/30,7.8 
2023/12/31,8.0 
2024/1/1,8.0 
2024/1/2,5.3 
2024/1/3,6.4 
2024/1/4,8.4 
2024/1/5,6.4 
2024/1/6,7.9 
2024/1/7,7.2 
2024/1/8,4.7 
2024/1/9,4.7 
2024/1/10,6.2 
2024/1/11,4.2 
2024/1/12,6.2 
2024/1/13,5.1 
2024/1/14,5.5 
2024/1/15,5.5 
2024/1/16,3.2 
2024/1/17,5.4 
2024/1/18,7.4 
2024/1/19,8.8 
2024/1/20,5.5 
2024/1/21,7.0 
2024/1/22,9.3 
2024/1/23,7.8 
2024/1/24,3.9 
2024/1/25,3.6 
2024/1/26,5.4 
2024/1/27,6.2 
2024/1/28,5.2 
2024/1/29,5.9 
2024/1/30,6.7 
2024/1/31,8.1 
2024/2/1,8.5 
2024/2/2,4.3 
2024/2/3,6.0 
2024/2/4,4.2 
2024/2/5,2.6 
2024/2/6,2.9 
2024/2/7,4.1 
2024/2/8,4.9 
2024/2/9,5.9 
2024/2/10,6.2 
2024/2/11,7.0 
2024/2/12,6.3 
2024/2/13,8.3 
2024/2/14,9.4 
2024/2/15,12.5 
2024/2/16,9.2 
2024/2/17,7.8 
2024/2/18,11.6 
2024/2/19,13.0 
2024/2/20,15.7 
2024/2/21,7.5 
2024/2/22,4.8 
2024/2/23,2.4 
2024/2/24,4.6 
2024/2/25,3.8 
2024/2/26,6.8 
2024/2/27,6.1 
2024/2/28,7.2 
2024/2/29,6.6 
2024/3/1,8.6 
2024/3/2,5.5 
2024/3/3,6.5 
2024/3/4,8.1 
2024/3/5,5.5 
2024/3/6,4.9 
2024/3/7,6.0 
2024/3/8,3.9 
2024/3/9,5.3 
2024/3/10,5.8 
2024/3/11,7.1 
2024/3/12,6.8 
2024/3/13,8.2 
2024/3/14,8.2 
2024/3/15,10.2 
2024/3/16,12.8 
2024/3/17,13.9 
2024/3/18,8.2 
2024/3/19,7.3 
2024/3/20,7.4 
2024/3/21,5.6 
2024/3/22,6.2 
2024/3/23,4.9 
2024/3/24,8.8 
2024/3/25,9.8 
2024/3/26,8.1 
2024/3/27,9.4 
2024/3/28,9.4 
2024/3/29,14.1 
2024/3/30,15.4 
2024/3/31,16.9 
2024/4/1,12.7 
2024/4/2,12.3 
2024/4/3,12.0 
2024/4/4,13.3 
2024/4/5,9.9 
2024/4/6,11.0 
2024/4/7,14.7 
2024/4/8,16.3 
2024/4/9,13.5 
2024/4/10,10.1 
2024/4/11,12.1 
2024/4/12,13.0 
2024/4/13,14.2 
2024/4/14,15.6 
2024/4/15,16.8 
2024/4/16,16.6 
2024/4/17,17.4 
2024/4/18,15.5 
2024/4/19,15.9 
2024/4/20,16.8 
2024/4/21,15.9 
2024/4/22,13.5 
2024/4/23,14.6 
2024/4/24,13.0 
2024/4/25,16.9 
2024/4/26,17.6 
2024/4/27,16.9 
2024/4/28,18.7 
2024/4/29,18.4 
2024/4/30,18.1 
2024/5/1,14.3 
2024/5/2,13.3 
2024/5/3,15.3 
2024/5/4,18.1 
2024/5/5,18.6 
2024/5/6,18.1 
2024/5/7,17.3 
2024/5/8,15.4 
2024/5/9,11.9 
2024/5/10,15.2 
2024/5/11,17.6 
2024/5/12,18.3 
2024/5/13,16.7 
2024/5/14,14.6 
2024/5/15,16.8 
2024/5/16,16.2 
2024/5/17,17.9 
2024/5/18,19.0 
2024/5/19,18.0 
2024/5/20,15.1 
2024/5/21,19.5 
2024/5/22,17.9 
2024/5/23,18.5 
2024/5/24,20.2 
2024/5/25,18.5 
2024/5/26,18.7 
2024/5/27,19.3 
2024/5/28,20.8 
2024/5/29,19.1 
2024/5/30,19.5 
2024/5/31,16.5 
2024/6/1,18.1 
2024/6/2,16.2 
2024/6/3,15.9 
2024/6/4,16.9 
2024/6/5,18.5 
2024/6/6,19.1 
2024/6/7,19.2 
2024/6/8,19.8 
2024/6/9,19.4 
2024/6/10,17.9 
2024/6/11,20.8 
2024/6/12,21.3 
2024/6/13,19.6 
2024/6/14,22.5 
2024/6/15,21.5 
2024/6/16,20.5 
2024/6/17,22.5 
2024/6/18,16.6 
2024/6/19,20.4 
2024/6/20,21.2 
2024/6/21,17.4 
2024/6/22,20.7 
2024/6/23,18.7 
2024/6/24,23.1 
2024/6/25,24.1 
2024/6/26,23.3 
2024/6/27,22.0 
2024/6/28,19.1 
2024/6/29,20.5 
2024/6/30,22.5 
2024/7/1,22.8 
2024/7/2,23.7 
2024/7/3,24.0 
2024/7/4,25.4 
2024/7/5,26.2 
2024/7/6,24.4 
2024/7/7,25.1 
2024/7/8,26.8 
2024/7/9,26.1 
2024/7/10,25.6 
2024/7/11,24.1 
2024/7/12,21.2 
2024/7/13,22.7 
2024/7/14,22.0 
2024/7/15,21.3 
2024/7/16,20.7 
2024/7/17,22.4 
2024/7/18,24.6 
2024/7/19,26.0 
2024/7/20,26.6 
2024/7/21,25.2 
2024/7/22,26.4 
2024/7/23,25.6 
2024/7/24,26.1 
2024/7/25,26.2 
2024/7/26,26.1 
2024/7/27,26.3 
2024/7/28,27.4 
2024/7/29,28.0 
2024/7/30,26.7 
2024/7/31,25.5 
2024/8/1,25.7 
2024/8/2,25.7 
2024/8/3,26.0 
2024/8/4,26.0 
2024/8/5,26.0 
2024/8/6,25.9 
2024/8/7,26.0 
2024/8/8,25.9 
2024/8/9,25.8 
2024/8/10,25.9 
2024/8/11,25.9 
2024/8/12,25.7 
2024/8/13,25.5 
2024/8/14,25.5 
2024/8/15,25.3 
2024/8/16,25.0 
2024/8/17,25.1 
2024/8/18,24.9 
2024/8/19,24.7 
2024/8/20,24.4 
2024/8/21,24.4 
2024/8/22,24.2 
2024/8/23,23.9 
2024/8/24,24.0 
2024/8/25,23.9 
2024/8/26,23.7 
2024/8/27,23.5 
2024/8/28,23.5 
2024/8/29,23.4 
2024/8/30,23.2 
2024/8/31,23.4 
2024/9/1,23.4 
2024/9/2,23.3 
2024/9/3,23.1 
2024/9/4,23.3 
2024/9/5,23.2 
2024/9/6,23.1 
2024/9/7,23.3 
2024/9/8,23.3 
2024/9/9,23.2 
2024/9/10,23.1 
2024/9/11,23.2 
2024/9/12,23.1 
2024/9/13,22.9 
2024/9/14,23.1 
2024/9/15,23.0 
2024/9/16,22.8 
2024/9/17,22.6 
2024/9/18,22.5 
2024/9/19,22.3 
2024/9/20,22.0 
2024/9/21,22.0 
2024/9/22,21.7 
2024/9/23,21.4 
2024/9/24,21.0 
2024/9/25,20.8 
2024/9/26,20.4 
2024/9/27,20.0 
2024/9/28,19.9 
2024/9/29,19.5 
2024/9/30,19.1 
2024/10/1,18.7 
2024/10/2,18.5 
2024/10/3,18.1 
2024/10/4,17.7 
2024/10/5,17.6 
2024/10/6,17.3 
2024/10/7,17.0 
2024/10/8,16.6 
2024/10/9,16.5 
2024/10/10,16.2 
2024/10/11,15.9 
2024/10/12,15.9 
2024/10/13,15.8 
2024/10/14,15.6 
2024/10/15,15.3 
2024/10/16,15.3 
2024/10/17,15.1 
2024/10/18,15.0 
2024/10/19,15.1 
2024/10/20,15.1 
2024/10/21,14.9 
2024/10/22,14.7 
2024/10/23,14.8 
2024/10/24,14.7 
2024/10/25,14.5 
2024/10/26,14.7 
2024/10/27,14.6 
2024/10/28,14.5 
2024/10/29,14.3 
2024/10/30,14.4 
2024/10/31,14.2 
2024/11/1,14.0 
2024/11/2,14.1 
2024/11/3,14.0 
2024/11/4,13.8 
2024/11/5,13.6 
2024/11/6,13.6 
2024/11/7,13.4 
2024/11/8,13.1 
2024/11/9,13.2 
2024/11/10,13.0 
2024/11/11,12.8 
